timestamp,x,y,z
825653,-3449,-944,895
825693,-3385,-939,894
825733,-3463,-983,887
825773,-3583,-1091,900
825813,-3705,-1175,841
825854,-3873,-1146,855
825894,-3902,-1112,926
825934,-3726,-1128,929
825975,-3761,-1169,991
826015,-3868,-1217,1093
826056,-3825,-1176,1170
826096,-3723,-1129,1254
826136,-3720,-1121,1277
826176,-3802,-1094,1299
826216,-3828,-1047,1306
826258,-3733,-1070,1230
826297,-3702,-1093,1191
826337,-3887,-1108,1092
826378,-3445,-1046,1051
826418,-3525,-1049,998
826459,-3646,-1037,953
826499,-3820,-1040,926
826539,-3666,-1057,914
826579,-3621,-1014,952
826620,-3532,-1062,961
826660,-3620,-1010,1031
826700,-3638,-906,1076
826740,-3694,-1072,1152
826780,-3736,-1043,1155
826820,-3709,-1067,1152
826861,-3692,-1113,1157
826900,-3800,-1131,1117
826940,-3676,-1117,1089
826981,-3785,-1117,1078
827021,-3753,-1046,1053
827062,-3706,-1064,1017
827101,-3754,-1033,962
827141,-3738,-1026,945
827181,-3752,-993,891
827222,-3693,-956,888
827262,-3696,-1031,904
827302,-3691,-1030,908
827342,-3579,-999,997
827382,-3578,-1023,1071
827423,-3686,-1057,1141
827464,-3698,-1052,1158
827503,-3710,-1110,1142
827543,-3667,-1140,1105
827583,-3669,-1193,1077
827624,-3682,-1217,1036
827664,-3665,-1274,1029
827704,-3763,-1298,986
827744,-3869,-1279,962
827784,-3812,-1273,975
827825,-3904,-1239,1006
827865,-3715,-1128,1079
827905,-3579,-1082,1111
827945,-3699,-1027,1097
827985,-3870,-1048,1034
828026,-3925,-1027,987
828067,-3818,-1000,964
828106,-3628,-1050,1023
828146,-3607,-1014,1076
828186,-3597,-980,1132
828226,-3617,-940,1129
828268,-3675,-894,1110
828306,-3639,-979,1106
828346,-3683,-983,1072
828387,-3554,-957,1088
828427,-3516,-951,1068
828468,-3720,-911,1061
828507,-3800,-888,1053
828547,-3900,-951,1110
828587,-3772,-861,1226
828627,-3625,-883,1272
828668,-3552,-864,1291
828707,-3630,-876,1240
828747,-3611,-928,1248
828787,-3624,-983,1260
828827,-3649,-984,1252
828868,-3597,-982,1236
828907,-3612,-958,1188
828947,-3628,-1035,1168
828987,-3609,-1044,1195
829027,-3647,-1009,1234
829068,-3583,-1048,1271
829107,-3530,-1077,1309
829148,-3613,-996,1330
829188,-3588,-1063,1385
829227,-3917,-1123,1448
829268,-3780,-1022,1498
829308,-3718,-1042,1500
829348,-4130,-1152,1461
829388,-4136,-1065,1347
829428,-3741,-1039,1202
829469,-3719,-982,1155
829509,-3582,-949,1034
829549,-3585,-707,781
829590,-3430,-1015,995
829630,-3608,-875,940
829671,-3588,-986,900
829711,-3652,-910,863
829751,-3644,-896,936
829791,-3704,-923,981
829831,-3630,-969,1004
829872,-3669,-931,1070
829912,-3706,-951,1096
829952,-3540,-998,1131
829992,-3463,-1046,1124
830032,-3650,-1076,1120
830073,-3734,-1099,1066
830113,-3840,-1152,1069
830153,-3907,-1189,1010
830193,-3835,-1101,999
830233,-3774,-1068,1020
830274,-3724,-1127,1023
830313,-3695,-1044,1043
830354,-3663,-1020,1059
830394,-3566,-1029,1104
830434,-3711,-1002,1113
830475,-3699,-1079,1118
830514,-3609,-1039,1162
830554,-3615,-1110,1185
830595,-3902,-1213,1183
830635,-3525,-1136,1194
830676,-4338,-1315,1174
830715,-4066,-1230,1243
830755,-3795,-1145,1236
830795,-3723,-1097,1248
830836,-3726,-1116,1187
830876,-3763,-1077,1049
830916,-3688,-1098,944
830956,-3548,-1123,886
830996,-3522,-1030,847
831037,-3648,-1149,947
831078,-3685,-915,986
831117,-3661,-933,994
831157,-3594,-982,1016
831198,-3575,-976,1070
831238,-3567,-942,1099
831279,-3485,-968,1121
831318,-3631,-986,1143
831359,-3745,-1060,1253
831399,-3585,-1009,1257
831439,-3421,-929,1295
831480,-3519,-958,1260
831520,-3525,-1012,1215
831560,-3548,-1046,1168
831600,-3643,-1073,1160
831640,-3768,-1181,1113
831681,-3825,-1002,1139
831721,-3655,-1017,1144
831761,-3666,-969,1174
831801,-3580,-866,1173
831841,-3653,-910,1146
831882,-3656,-930,1248
831922,-3730,-739,1306
831962,-3728,-748,1380
832002,-3657,-765,1402
832044,-3593,-856,1340
832084,-3681,-965,1345
832124,-3948,-885,1384
832164,-4111,-985,1447
832204,-4135,-1021,1386
832245,-3552,-909,1158
832286,-3563,-927,1027
832325,-3713,-915,1024
832365,-3754,-973,909
832406,-3829,-1059,791
832446,-3790,-983,726
832487,-3602,-942,677
832527,-3741,-1041,615
832567,-3805,-978,609
832607,-3833,-940,624
832647,-3779,-992,594
832688,-3677,-974,577
832728,-3568,-994,619
832768,-3748,-999,700
832808,-3854,-1014,793
832849,-3829,-986,860
832890,-3859,-994,842
832929,-3876,-1070,926
832969,-3900,-1064,959
833010,-3807,-1044,994
833050,-3742,-1080,1002
833091,-3708,-1123,969
833130,-3715,-1098,990
833170,-3671,-1144,980
833211,-3764,-1180,986
833251,-3806,-1123,998
833292,-3810,-1109,1007
833331,-3987,-1115,997
833372,-4100,-1188,1045
833412,-3926,-1098,1080
833452,-3696,-1088,1238
833493,-3793,-1041,1289
833533,-3674,-952,1325
833573,-3810,-870,1314
833613,-3720,-786,1222
833653,-3563,-801,1079
833694,-3632,-745,1002
833734,-3846,-721,947
833774,-3851,-662,919
833814,-3639,-761,936
833854,-3672,-689,1038
833895,-3367,-698,1189
833934,-3070,-646,1409
833975,-3014,-736,1499
834015,-3198,-795,1900
834055,-3269,-1121,1760
834096,-3398,-1566,1538
834135,-3500,-1806,1601
834175,-3577,-1980,1613
834216,-3864,-1790,1579
834256,-4667,-1722,1542
834296,-5243,-1782,1311
834336,-4222,-1482,1289
834376,-3699,-1143,1177
834416,-3451,-1070,1071
834457,-3346,-1069,872
834497,-3462,-965,524
834537,-3727,-916,443
834577,-3439,-910,311
834617,-3477,-814,462
834657,-3534,-1141,431
834698,-3703,-1210,671
834737,-3704,-1211,796
834778,-3578,-1169,894
834818,-3433,-1109,1106
834858,-3388,-1372,1259
834899,-3491,-1547,1304
834938,-3535,-1611,1328
834978,-3787,-1630,1415
835019,-4187,-1719,1399
835059,-4387,-1845,1476
835100,-4044,-1988,1341
835139,-3329,-1427,1303
835179,-2891,-1171,1113
835219,-3199,-1155,947
835260,-3469,-1208,914
835301,-3694,-1174,966
835340,-3568,-1313,950
835380,-3313,-1301,850
835421,-3097,-1269,937
835461,-3135,-1206,1082
835502,-3199,-1183,1105
835541,-3287,-1256,1245
835581,-3462,-1373,1355
835622,-3523,-1421,1484
835662,-3608,-1420,1564
835703,-4057,-1333,1401
835742,-4621,-742,2134
835783,-4599,-1555,1442
835823,-4386,-1329,893
835864,-3645,-1300,675
835905,-3094,-1222,800
835944,-3367,-1266,845
835984,-3479,-1353,733
836025,-3823,-1253,688
836065,-3713,-1159,671
836106,-3661,-994,596
836145,-3492,-1055,669
836185,-3538,-1211,666
836226,-3339,-1235,845
836266,-3274,-1291,937
836307,-3222,-1274,1126
836352,-3436,-1390,1216
836392,-3703,-1410,1341
836432,-3859,-1527,1374
836472,-4138,-1334,1260
836513,-4028,-1231,1399
836553,-4357,-1400,1342
836593,-4046,-1502,1342
836633,-3747,-1420,1236
836673,-3300,-1071,1204
836714,-3117,-827,1126
836753,-3424,-572,914
836793,-3795,-791,690
836833,-4109,-993,654
836874,-4079,-1134,837
836914,-3689,-1038,846
836954,-3318,-937,923
836994,-3246,-745,1140
837034,-3397,-481,1316
837075,-3465,-607,1464
837116,-3593,-727,1576
837155,-3571,-700,1650
837195,-3572,-658,1643
837236,-3589,-539,1572
837276,-3700,-629,1597
837317,-3698,-741,1457
837357,-3624,-782,1422
837397,-3864,-829,1326
837437,-3979,-1007,1246
837477,-4685,-1185,1292
837518,-4110,-1210,1338
837558,-3221,-1119,1327
837598,-3209,-924,1335
837638,-3590,-926,1277
837678,-3847,-877,1230
837720,-3996,-958,1153
837759,-3926,-938,1084
837799,-3997,-781,985
837840,-3925,-805,938
837880,-3903,-754,867
837921,-3685,-738,837
837960,-3479,-768,837
838000,-3440,-829,869
838041,-3385,-772,871
838081,-3328,-803,917
838122,-3394,-794,996
838161,-3837,-983,1130
838202,-3951,-1381,1215
838242,-3827,-1609,1356
838282,-3709,-1593,1441
838323,-3445,-1673,1516
838363,-3494,-1729,1460
838403,-3886,-1786,1351
838443,-3938,-1667,1253
838483,-4221,-1712,1193
838524,-4048,-1561,1187
838564,-3915,-1490,1250
838604,-3835,-1344,1179
838644,-3642,-965,1142
838684,-3393,-842,1165
838725,-3304,-845,1070
838765,-3343,-836,997
838805,-3618,-888,1005
838845,-3745,-914,1132
838885,-3775,-787,1183
838926,-3630,-673,1287
838966,-3574,-669,1397
839006,-3644,-679,1457
839046,-3560,-797,1414
839086,-3491,-1072,1390
839127,-3535,-1227,1355
839167,-3612,-1205,1378
839207,-3720,-1100,1367
839247,-3758,-1079,1349
839287,-3747,-1057,1353
839328,-3706,-1013,1271
839367,-3666,-1020,1300
839408,-3559,-1081,1217
839448,-3489,-1042,1139
839488,-3539,-1030,1157
839529,-3762,-1062,1179
839568,-3879,-1003,1277
839608,-3942,-1014,1346
839649,-3997,-896,1403
839689,-3826,-850,1406
839730,-3715,-706,1350
839769,-3769,-809,1287
839809,-3813,-814,1208
839849,-3785,-861,1142
839890,-3557,-840,1064
839930,-3502,-908,1026
839970,-3516,-922,993
840010,-3605,-971,948
840050,-3602,-957,922
840090,-3603,-983,893
840131,-3752,-1074,849
840171,-3750,-1043,819
840211,-3830,-1120,792
840251,-3866,-1091,748
840291,-3852,-1108,675
840332,-3677,-1132,666
840372,-3570,-1254,704
840412,-3666,-1305,733
840453,-3749,-1317,831
840493,-3816,-1229,922
840534,-3869,-1168,955
840573,-3849,-1173,1027
840614,-3882,-1139,1059
840654,-3968,-1200,1101
840694,-4006,-1141,1123
840735,-3794,-1210,1244
840774,-3666,-1181,1308
840815,-3498,-1090,1238
840855,-3699,-964,1095
840895,-3808,-862,1031
840936,-3876,-1007,986
840976,-3817,-777,903
841016,-3392,-1075,938
841056,-3507,-958,1057
841097,-3379,-728,1239
841137,-3381,-795,1368
841177,-3415,-835,1390
841217,-3600,-1083,1565
841257,-3716,-1087,1756
841298,-4048,-1050,2079
841339,-3946,-1458,1451
841378,-3513,-1535,738
841418,-3539,-915,702
841459,-3862,-1134,783
841499,-3995,-1138,742
841540,-3640,-1137,647
841580,-3409,-1190,639
841620,-3447,-1246,683
841660,-3764,-1280,548
841700,-3667,-1225,570
841741,-3560,-1183,623
841781,-3479,-1234,665
841821,-3612,-1346,717
841861,-3652,-1409,810
841902,-3666,-1397,916
841943,-3719,-1408,1014
841982,-3737,-1479,1130
842022,-3696,-1455,1147
842063,-3784,-1394,1252
842103,-3693,-1414,1328
842144,-3732,-1445,1315
842183,-3609,-1425,1310
842224,-3507,-1444,1246
842264,-3730,-1501,1081
842304,-3974,-1489,984
842345,-4019,-1339,826
842384,-4150,-1319,782
842425,-3933,-1304,684
842465,-3636,-1267,636
842505,-3258,-1241,699
842546,-3281,-1168,629
842586,-3361,-1137,680
842626,-3489,-1136,782
842666,-3620,-1152,1001
842706,-3630,-1064,1122
842747,-3632,-1048,1196
842787,-3661,-954,1217
842827,-3732,-872,1321
842867,-3628,-1000,1285
842908,-3636,-988,1204
842949,-3524,-1095,1307
842988,-3590,-1180,1239
843028,-3518,-1234,1167
843068,-3516,-1286,1186
843108,-3656,-1276,1316
843150,-3625,-1168,1354
843189,-3744,-1061,1337
843229,-3969,-1128,1350
843269,-3873,-1197,1315
843309,-3969,-1165,1202
843350,-3764,-1028,1139
843390,-3556,-1094,1060
843430,-3463,-1211,1002
843470,-3730,-956,1019
843510,-3855,-970,981
843551,-3802,-974,996
843591,-3675,-869,969
843631,-3510,-837,1004
843671,-3514,-837,1010
843711,-3540,-917,983
843752,-3542,-972,1027
843792,-3596,-1027,983
843832,-3611,-1149,959
843872,-3672,-1228,964
843912,-3742,-1279,914
843953,-3626,-1317,888
843992,-3627,-1343,884
844032,-3782,-1418,848
844073,-3881,-1498,782
844113,-3824,-1350,793
844154,-3597,-1307,822
844193,-3564,-1374,801
844233,-3596,-1380,881
844273,-3678,-1358,895
844314,-3742,-1298,958
844355,-3735,-1228,990
844394,-3735,-1230,1042
844434,-3790,-1218,1069
844475,-3745,-1216,1039
844515,-3742,-1270,1000
844556,-3471,-1326,1031
844595,-3555,-1347,1038
844635,-3783,-1406,1063
844675,-4191,-1384,1013
844716,-3989,-1341,1053
844756,-3815,-1296,1016
844796,-3585,-1230,1026
844836,-3478,-1162,953
844876,-3473,-1245,874
844917,-3523,-1151,799
844958,-3579,-1217,798
844997,-3682,-1320,795
845038,-3568,-1218,900
845078,-3540,-1162,968
845118,-3463,-1123,1029
845159,-3475,-1146,1081
845199,-3537,-1118,1113
845239,-3645,-1145,1127
845279,-3638,-1168,1114
845320,-3762,-1123,1081
845360,-3738,-1109,1090
845400,-3725,-1086,1030
845440,-3707,-1048,967
845481,-3662,-1064,964
845521,-3541,-1045,956
845562,-3615,-979,945
845602,-3714,-1017,965
845642,-3649,-998,978
845683,-3706,-947,1225
845723,-3572,-1035,1433
845764,-3553,-1233,1469
845803,-3497,-1200,1276
845843,-3504,-1104,1270
845884,-3600,-1074,1354
845924,-3956,-1156,1359
845965,-4075,-1269,1067
846004,-3803,-1097,1023
846045,-3883,-951,886
846085,-3886,-1132,872
846125,-3842,-1039,769
846166,-3703,-1063,615
846206,-3620,-1087,581
846246,-3641,-1153,514
846286,-3777,-1120,495
846326,-3919,-1025,426
846367,-3917,-1017,430
846407,-3726,-1007,417
846447,-3544,-1133,407
846488,-3497,-1233,522
846528,-3529,-1379,574
846569,-3726,-1426,664
846608,-3653,-1419,810
846649,-3824,-1413,898
846689,-3949,-1327,846
846729,-3704,-1286,990
846770,-3751,-1263,1001
846809,-3736,-1368,1041
846850,-3618,-1331,1088
846890,-3828,-1245,1016
846930,-4071,-1079,1040
846971,-4078,-1099,982
847011,-3934,-653,1162
847051,-3602,-488,1386
847091,-3663,-688,1264
847132,-3613,-1038,1009
847172,-3494,-1383,942
847212,-3375,-1043,889
847252,-3447,-993,902
847292,-3609,-1083,1030
847332,-3704,-1021,1080
847373,-3580,-1034,1192
847413,-3511,-1001,1178
847453,-3500,-1115,1217
847493,-3566,-1150,1202
847533,-3733,-1090,1296
847574,-3855,-1202,1274
847614,-4284,-1315,1248
847654,-4199,-1237,1143
847694,-3832,-1092,975
847734,-3935,-1038,994
847775,-3936,-1027,973
847814,-3627,-982,874
847855,-3539,-947,751
847895,-3538,-1011,687
847935,-3905,-925,403
847976,-3939,-1252,570
848015,-3902,-1032,442
848056,-3540,-840,526
848096,-3388,-1010,640
848136,-3365,-1350,760
848177,-3462,-1457,718
848216,-3525,-1453,844
848256,-3492,-1501,883
848296,-3528,-1668,974
848337,-3488,-1809,967
848377,-3416,-1784,992
848412,-3530,-1820,984
848452,-3758,-1947,914
848492,-3623,-1974,1016
848532,-4186,-1974,1007
848573,-4664,-1898,969
848612,-4124,-1502,1024
848652,-3459,-1145,1004
848692,-3420,-741,698
848732,-3238,-1212,865
848773,-3558,-1082,1099
848812,-3968,-734,1181
848852,-3719,-972,1064
848893,-3383,-834,1155
848933,-3407,-1173,1220
848974,-3244,-1353,1266
849013,-3338,-1320,1241
849054,-3387,-1487,1361
849094,-3329,-1476,1373
849134,-3314,-1374,1363
849175,-3395,-1401,1392
849214,-3446,-1399,1398
849255,-3482,-1310,1472
849295,-3621,-1290,1607
849335,-3629,-1395,1670
849376,-3668,-1114,1765
849416,-4066,-1185,1688
849456,-4499,-1606,1329
849496,-3731,-1234,1030
849536,-3274,-946,1003
849577,-3338,-1038,1003
849617,-3548,-1162,913
849657,-3649,-1181,821
849697,-3777,-1165,770
849737,-3839,-1150,668
849779,-3790,-1238,586
849818,-3458,-1151,569
849858,-3357,-1147,589
849899,-3428,-1308,637
849939,-3544,-1415,705
849980,-3543,-1450,728
850019,-3623,-1399,794
850059,-3676,-1455,940
850100,-3727,-1523,1074
850140,-3716,-1501,1176
850181,-3603,-1479,1316
850220,-3654,-1576,1345
850261,-3622,-1597,1359
850301,-3728,-1613,1410
850341,-3764,-1646,1326
850382,-3957,-1651,1237
850422,-4352,-1704,1137
850462,-3774,-1415,1111
850502,-3827,-1436,1042
850542,-3800,-1295,892
850583,-3733,-1183,856
850623,-3561,-1060,667
850663,-3538,-974,619
850703,-3663,-1046,436
850744,-3706,-1234,389
850785,-3676,-1182,375
850824,-3612,-1210,473
850865,-3390,-1185,515
850905,-3395,-1137,589
850945,-3533,-1276,812
850986,-3570,-1170,1007
851026,-3824,-841,1481
851066,-3852,-1404,2630
851106,-3430,-2115,1718
851146,-3544,-1557,1137
851187,-3535,-1460,906
851227,-3670,-1121,730
851267,-3571,-1025,783
851307,-3594,-1124,881
851348,-3520,-1351,907
851389,-3764,-1220,962
851428,-3820,-1201,1105
851468,-4022,-1256,1271
851508,-4174,-852,1567
851549,-3926,-507,1569
851590,-3788,-578,1331
851629,-3734,-1096,882
851669,-3718,-945,952
851710,-3618,-1031,910
851750,-3564,-1069,939
851791,-3637,-1081,916
851831,-3699,-1266,873
851871,-4001,-1483,1003
851911,-3997,-1476,1035
851951,-4009,-1343,787
851992,-3743,-1509,980
852032,-3412,-1453,935
852072,-3127,-1660,1115
852112,-3065,-1655,1323
852152,-2792,-1680,1227
852193,-2716,-1700,1410
852233,-2810,-1618,1561
852273,-2869,-1478,1420
852313,-3004,-1516,1183
852353,-3207,-1687,921
852394,-3387,-2098,928
852434,-3778,-2290,1049
852474,-3878,-2191,1108
852514,-3956,-2195,1380
852554,-4037,-2399,1586
852595,-4369,-1802,1630
852634,-4576,-1004,1473
852674,-3719,-531,1529
852714,-3439,-956,1341
852755,-3331,-1270,1155
852796,-3493,-1340,977
852835,-3688,-1139,800
852875,-3836,-1117,761
852915,-3886,-1284,669
852955,-3769,-1318,607
852996,-3735,-1310,689
853036,-3583,-1120,696
853076,-3298,-1055,849
853116,-3273,-976,970
853156,-3288,-1016,1102
853197,-3521,-1103,1379
853237,-3704,-1079,1686
853277,-3688,-847,1833
853317,-3749,-702,1807
853357,-3492,-836,1771
853398,-3507,-1032,1386
853437,-3561,-1131,1188
853477,-3734,-1186,1202
853518,-3618,-1154,1274
853558,-3475,-1096,1357
853599,-3623,-1099,1457
853638,-4031,-1090,1501
853678,-4147,-1055,1576
853718,-3818,-1008,1473
853759,-3534,-934,1362
853799,-3594,-961,1292
853839,-3744,-977,1197
853879,-3876,-1018,1124
853919,-3696,-1013,1095
853960,-3513,-836,1007
854001,-3380,-907,1027
854040,-3404,-887,980
854081,-3507,-994,955
854121,-3667,-1004,913
854161,-3754,-1055,823
854202,-3726,-1064,851
854242,-3726,-1198,915
854282,-3668,-1144,1014
854322,-3560,-1106,1104
854363,-3580,-1114,1173
854403,-3701,-1049,1146
854443,-3809,-1139,1166
854483,-3798,-1117,1173
854523,-3739,-1112,1152
854564,-3680,-1140,1189
854605,-3600,-1129,1245
854644,-3621,-1056,1270
854684,-3682,-1011,1274
854725,-3726,-1032,1241
854765,-3600,-1105,1239
854806,-3474,-1168,1175
854846,-3466,-1206,1168
854886,-3561,-1207,1237
854926,-3769,-1147,1228
854966,-4162,-1216,1250
855007,-4768,-1301,1276
855047,-4184,-1126,1336
855087,-3771,-1079,1347
855127,-3621,-978,1342
855167,-3487,-936,1201
855208,-3364,-807,1036
855248,-3646,-813,895
855288,-3906,-944,702
855328,-3962,-955,574
855369,-3715,-1018,631
855410,-3559,-1027,618
855449,-3237,-847,697
855489,-3105,-940,854
855530,-3180,-968,986
855570,-3410,-1225,1230
855611,-3757,-1396,1932
855650,-3651,-1013,2369
855691,-3635,-1371,2141
855731,-3755,-1198,1840
855771,-3760,-1086,1309
855812,-3830,-1073,1227
855852,-4096,-887,1402
855892,-4358,-1240,1224
855932,-4151,-1193,1144
855972,-3877,-1187,994
856013,-3866,-1132,869
856053,-3742,-1092,819
856093,-3672,-1061,801
856133,-3477,-1113,860
856174,-3402,-1109,808
856214,-3641,-953,770
856254,-3842,-948,660
856294,-3745,-897,618
856334,-3582,-878,523
856375,-3333,-1063,613
856416,-3442,-1062,674
856455,-3563,-1154,758
856496,-3649,-1145,882
856536,-3826,-1095,1043
856576,-3855,-1118,1186
856617,-3869,-1053,1292
856657,-3930,-990,1311
856697,-3859,-1069,1394
856737,-3696,-1126,1423
856777,-3526,-1162,1389
856818,-3629,-1173,1344
856857,-3892,-1179,1233
856898,-3837,-1235,1150
856938,-4194,-1301,1142
856978,-4134,-1391,1075
857019,-3974,-1353,1128
857058,-3820,-1065,1103
857099,-3459,-1022,1099
857139,-3323,-991,968
857179,-3488,-929,958
857220,-3659,-896,1040
857259,-3883,-921,1031
857299,-3957,-970,1165
857340,-4011,-762,1432
857380,-3695,-332,1472
857421,-3208,-228,1519
857460,-3027,-685,1490
857500,-3212,-905,1392
857541,-3462,-1054,1337
857581,-3754,-1140,1313
857622,-3786,-1181,1354
857661,-3752,-1238,1335
857701,-3663,-1012,1297
857741,-3561,-1063,1277
857781,-3553,-1170,1287
857822,-3652,-1241,1190
857862,-3608,-1304,1177
857902,-3525,-1341,1249
857942,-3689,-1225,1425
857982,-3866,-1126,1606
858023,-3960,-900,1783
858063,-4652,-828,1765
858103,-4530,-863,1429
858143,-3762,-779,1115
858183,-3013,-852,1104
858224,-3133,-762,1068
858263,-3318,-1101,788
858304,-3743,-1116,688
858344,-3764,-1302,698
858384,-3612,-1258,717
858425,-3768,-1311,662
858465,-3898,-1328,577
858505,-3757,-1434,626
858545,-3398,-1371,758
858585,-3217,-1598,931
858626,-3215,-1799,895
858666,-3276,-2038,1065
858706,-3381,-2105,1202
858746,-3508,-2034,1219
858787,-3339,-2184,1269
858828,-3199,-2370,1496
858867,-3183,-2310,1418
858907,-3171,-2325,1385
858948,-3201,-2408,1452
858988,-3324,-2301,1375
859029,-3521,-2167,1261
859068,-3638,-2101,1292
859108,-3424,-2151,1208
859149,-3065,-2139,1338
859189,-3114,-1956,1246
859230,-3148,-1681,1017
